id;name;year;type;genres;episodes;rating;source;status
11583; Kami_nomi_zo_Shiru_Sekai__Natsu-iro_Surprise; 2011; ; 1; 1; 6.64; Unknown; 1
35677; Hibike_Euphonium_Movie__Mizore_to_Nozomi_no_Monogatari; 2018; Movie; 1; 1; -1; Novel; 0
1042; Bronze__Zetsuai_Since_1989; 1996; OVA; 1; 1; 6.64; Manga; 1
10445; Perfect_Day; 2011; ; 1; 1; 7.54; Unknown; 1
1655; Nerima_Daikon_Brothers; 2006; TV; 1; 2; 7.46; Unknown; 1
31370; Tonkatsu_DJ_Agetarou; 2016; TV; 1; 2; 7.18; Manga; 1
32039; Show_By_Rock_Short; 2016; TV; 1; 2; 6.36; Game; 1
1998; Amazing_Nuts; 2006; ; 1; 2; 6.71; Original; 1
30251; Venus_Project__Climax; 2015; TV; 1; 2; 5.48; Game; 1
32717; Aikatsu_Stars; 2017; TV; 1; 0; 7.33; Original; 2
1958; Wish; 1997; ; 1; 1; 6.72; Manga; 1
34028; Idol_Jihen; 2017; TV; 1; 2; 5.76; Original; 1
1457; Key_the_Metal_Idol; 1997; OVA; 0; 2; 7.08; Original; 1
33045; Dream_Festival; 2016; ONA; 1; 2; 6.84; Original; 1
4012; First_Squad; 2005; ; 1; 1; 5.96; Unknown; 1
31560; Miss_Monochrome__The_Animation_3; 2015; TV; 1; 2; 6.65; Original; 1
22539; One_More_Time_One_More_Chance; 2007; ; 1; 1; 7.59; Original; 1
1399; Macross_7_Encore; 1996; OVA; 0; 2; 7.06; Unknown; 1
33572; Idol_Memories; 2016; TV; 1; 2; 5.43; Original; 1
11507; Kami_nomi_zo_Shiru_Sekai__Nonstop_Hunters; 2011; ; 1; 1; 6.61; Unknown; 1
1400; Macross_7_Movie__Ginga_ga_Ore_wo_Yondeiru; 1995; Movie; 0; 1; 7.03; Original; 1
21853; Love_Live_School_Idol_Project_Recap; 2013; Special; 1; 1; 7.16; Unknown; 1
30829; Love_Live_School_Idol_Project_2nd_Season_Recap; 2015; OVA; 1; 1; 7.52; Unknown; 1
33033; Starmyu_OVA; 2016; OVA; 1; 2; 7.18; Original; 1
34792; Yoake_Tsugeru_Lu_no_Uta; 2017; Movie; 1; 1; 7.46; Original; 1
32212; Ensemble_Stars_The_Animation; 2017; TV; 1; 0; -1; Game; 0
28789; 3-gatsu_no_Lion_meets_Bump_of_Chicken; 2014; ; 1; 1; 6.92; Unknown; 1
28179; Miss_Monochrome__The_Animation_-_Manager; 2014; OVA; 1; 1; 6.34; Original; 1
6209; Macross_7_Plus; 1996; Special; 0; 2; 6.95; Original; 1
11487; Sekiranun_Graffiti; 2011; ; 1; 1; 7.09; Unknown; 1
1203; Nitaboh; 2004; Movie; 2; 1; 7.51; Unknown; 1
